,Name,Type,Cost,Color,Rarity,Quality,Price,Set,Description
2218,"Karlach, Fury of Avernus",5/4 Legendary Creature - Tiefling Barbarian,5,R,M,NM,6.49,Commander Legends: Battle for Baldur's Gate,"Whenever you attack, if it's the first combat phase of the turn, untap all attacking creatures. They gain first strike until end of turn. After this phase, there is an additional combat phase.Choose a Background "
2219,Nature's Will,Enchantment,4,GG,R,EX,13.59,Champions of Kamigawa,"Whenever one or more creatures you control deal combat damage to a player, tap all lands that player controls and untap all lands you control."
2220,Birds of Paradise,0/1 Creature - Bird,1,G,R,EX,13.59,4th Edition,Flying{T}: Add one mana of any color.
2221,Stonehoof Chieftain,8/8 Creature - Centaur Warrior,8,G,R,NM,13.99,Commander 2016,"Trample, indestructibleWhenever another creature you control attacks, it gains trample and indestructible until end of turn."
2222,Woodland Chasm,Snow Land - Swamp Forest,0,,C,NM,1.79,Kaldheim,Woodland Chasm enters the battlefield tapped.
2223,Blighted Agent,1/1 Creature - Phyrexian Human Rogue,2,U,C,NM,1.79,New Phyrexia,Infect Blighted Agent is unblockable.
2224,Mizzix's Mastery,Sorcery,4,R,M,NM,7.99,Strixhaven Mystical Archive,"Exile target card that’s an instant or sorcery from your graveyard. For each card exiled this way, copy it, and you may cast the copy without paying its mana cost. Exile Mizzix’s Mastery.Overload {5}{R}{R}{R} "
2225,Paradox Engine,Legendary Artifact,5,,M,EX,6.39,Aether Revolt,"Whenever you cast a spell, untap all nonland permanents you control."
2226,Thought Monitor,2/2 Artifact Creature - Construct,7,U,R,NM,3.49,The Brothers' War Commander Decks,"Affinity for artifactsFlyingWhen Thought Monitor enters the battlefield, draw two cards."
2227,Essence Sliver,3/3 Creature - Sliver,4,W,R,EX,7.59,Legions,"Whenever a Sliver deals damage, its controller gains that much life."
2228,Mountain,Basic Land - Mountain,0,,L,NM,2.49,Unstable,
2229,"Karn, Living Legacy (Borderless)",Legendary Planeswalker - Karn,4,,M,NM,4.99,Dominaria United Variants,"[+1]: Create a tapped Powerstone token. [-1]: Pay any amount of mana. Look at that many cards from the top of your library, then put one of those cards into your hand and the rest on the bottom of your library in a random order.[-7]: You get an emblem with ""Tap an untapped artifact you control: This emblem deals 1 damage to any target.""|4|"
2230,Silverclad Ferocidons,8/5 Creature - Dinosaur,7,RR,R,NM,4.99,Rivals of Ixalan," - Whenever Silverclad Ferocidons is dealt damage, each opponent sacrifices a permanent."
2231,"Chainer, Dementia Master",3/3 Legendary Creature - Human Minion,5,BB,R,NM,11.99,Torment,"Nightmare creatures get +1/+1.{B}{B}{B}, Pay 3 life: Put target creature card from a graveyard onto the battlefield under your control. That creature is black and is a Nightmare in addition to its other creature types.When Chainer, Dementia Master leaves the battlefield, exile all Nightmares."
2232,Hunting Grounds,Enchantment,2,GW,R,NM,11.99,Judgment," - As long as seven or more cards are in your graveyard, Hunting Grounds has ""Whenever an opponent casts a spell, you may put a creature card from your hand onto the battlefield."""
2233,Lifeblood Hydra,0/0 Creature - Hydra,4,XGGG,R,NM,11.99,Commander 2014,"TrampleLifeblood Hydra enters the battlefield with X +1/+1 counters on it.When Lifeblood Hydra dies, you gain life and draw cards equal to its power."
2234,Comeuppance,Instant,4,W,R,EX,9.59,Commander 2014,"Prevent all damage that would be dealt to you and planeswalkers you control this turn by sources you don't control. If damage from a creature source is prevented this way, Comeuppance deals that much damage to that creature. If damage from a noncreature source is prevented this way, Comeuppance deals that much damage to the source's controller."
2235,Hall of the Bandit Lord,Legendary Land,0,,R,EX,9.59,Champions of Kamigawa,"Hall of the Bandit Lord enters the battlefield tapped.{T}, Pay 3 life: Add {C} to your mana pool. If that mana is spent on a creature spell, it gains haste."
2236,Vexing Puzzlebox,Artifact,3,,M,NM,5.99,Commander Legends: Battle for Baldur's Gate,"Whenever you roll one or more dice, put a number of charge counters on Vexing Puzzlebox equal to the result.{T}: Add one mana of any color. Roll a d20.{T}, Remove 100 charge counters from Vexing Puzzlebox: Search your library for an artifact card, put that card onto the battlefield, then shuffle."
2237,Mountain (278),Basic Land - Mountain,0,,L,NM,1.49,Streets of New Capenna,
2238,Rakdos Signet,Artifact,2,,C,NM,1.29,The Brothers' War Commander Decks,"{1}, {T}: Add {B}{R}."
2239,Shadowspear (Promo Pack),Legendary Artifact - Equipment,1,,R,NM,25.99,Promo Pack,Equipped creature gets +1/+1 and has trample and lifelink.{1}: Permanents your opponents control lose hexproof and indestructible until end of turn.Equip {2}
2240,Whim of Volrath,Instant,1,U,R,NM,16.99,Tempest,Buyback {2} Change the text of target permanent by replacing all instances of one color word with another or one basic land type with another until end of turn. 
2241,Watery Grave,Land - Island Swamp,0,,R,NM,16.99,Secret Lair,"As Watery Grave enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
2242,Mana Web,Artifact,3,,R,EX,14.44,Weatherlight,"Whenever a land an opponent controls is tapped for mana, tap all lands that player controls that could produce any type of mana that land could produce."
2243,Castle Locthwain (Extended Art),Land,0,,R,NM,16.99,Throne of Eldraine Variants,"Castle Locthwain enters the battlefield tapped unless you control a Swamp.{T}: Add {B}.{1}{B}{B}, {T}: Draw a card, then you lose life equal to the number of cards in your hand."
2244,"Yuriko, the Tiger's Shadow (Foil Etched)",1/3 Legendary Creature - Human Ninja,3,UB,M,NM,12.99,Commander Legends Variants,"Commander ninjutsu {U}{B} Whenever a Ninja you control deals combat damage to a player, reveal the top card of your library and put that card into your hand. Each opponent loses life equal to that card’s converted mana cost."
2245,Graven Cairns,Land,0,,R,NM,12.99,Future Sight,"{T}: Add {C} to your mana pool.{B/R}, {T}: Add {B}{B}, {B}{R}, or {R}{R} to your mana pool."
2246,Nut Collector,1/1 Creature - Human Druid,6,G,R,NM,12.99,Odyssey,"At the beginning of your upkeep, you may put a 1/1 green Squirrel creature token onto the battlefield. - Squirrel creatures get +2/+2 as long as seven or more cards are in your graveyard."
2247,Master of the Pearl Trident,2/2 Creature - Merfolk,2,UU,R,NM,6.49,Duel Decks: Merfolk Vs. Goblins,Other Merfolk creatures you control get +1/+1 and have islandwalk. 
2248,Rogue's Passage (Commander Deck),Land,0,,U,NM,1.29,Commander Legends,"{T}: Add {C}.{4}, {T}: Target creature can’t be blocked this turn."
2249,Dreadbore,Sorcery,2,BR,R,NM,20.99,Secret Lair,Destroy target creature or planeswalker.
2250,Verdant Catacombs,Land,0,,R,NM,20.99,Secret Lair,"{T}, Pay 1 life, Sacrifice Verdant Catacombs: Search your library for a Swamp or Forest card and put it onto the battlefield. Then shuffle your library."
2251,Graven Cairns,Land,0,,R,NM,8.99,Double Masters,"{T}: Add {C}.{B/R}, {T}: Add {B}{B}, {B}{R}, or {R}{R}."
2252,"Ghalta, Primal Hunger (Store Championship Foil)",12/12 Legendary Creature - Elder Dinosaur,12,GG,R,NM,8.99,Promotional,"Ghalta, Primal Hunger costs {X} less to cast, where X is the total power of creatures you control.Trample"
2253,Umbra Mystic,2/2 Creature - Human Wizard,3,W,R,NM,8.99,Rise of the Eldrazi,Auras attached to permanents you control have Totem Armor. 
2254,Collector Ouphe,2/2 Creature - Ouphe,2,G,R,NM,4.49,Modern Horizons,Activated abilities of artifacts can't be activated.
2255,Mindcrank,Artifact,2,,U,NM,4.49,New Phyrexia,"Whenever an opponent loses life, that player mills that many cards."
2256,Lightning Greaves (KLD),Artifact - Equipment,2,,S,NM,219.99,Masterpiece Series: Inventions,Equipped creature has haste and shroud.Equip {0}
2257,Gauntlet of Might (Not Tournament Legal),Artifact,4,,R,NM,219.99,Collectors Ed,"Red creatures get +1/+1.Whenever a Mountain is tapped for mana, its controller adds an additional {R}."
2258,Falling Star,Sorcery,3,R,R,EX,98.99,Legends,"Flip Falling Star onto the playing area from a height of at least one foot. Falling Star deals 3 damage to each creature it lands on. Tap all creatures dealt damage by Falling Star. If Falling Star doesn't turn completely over at least once during the flip, it has no effect."
2259,Wild Growth,Enchantment - Aura,1,G,C,VG,65.99,Alpha,"Enchant landWhenever enchanted land is tapped for mana, its controller adds an additional {G}."
2260,Enlightened Tutor (Borderless),Instant,1,W,R,NM,54.99,Dominaria Remastered Variants,"Search your library for an artifact or enchantment card, reveal it, then shuffle and put that card on top."
2261,The Meathook Massacre (Promo Pack),Legendary Enchantment,3,XBB,M,NM,54.99,Promo Pack,"When The Meathook Massacre enters the battlefield, each creature gets -X/-X until end of turn.Whenever a creature you control dies, each opponent loses 1 life.Whenever a creature an opponent controls dies, you gain 1 life."
2262,Eidolon of the Great Revel (Foil),2/2 Enchantment Creature - Spirit,2,RR,R,NM,21.99,Secret Lair,"Whenever a player casts a spell with converted mana cost 3 or less, Eidolon of the Great Revel deals 2 damage to that player."
2263,Time Stretch,Sorcery,10,UU,R,NM,19.99,Odyssey,Target player takes two extra turns after this one.
2264,Peacekeeper,1/1 Creature - Human,3,W,R,NM,19.99,Weatherlight,"At the beginning of your upkeep, sacrifice Peacekeeper unless you pay {1}{W}.Creatures can't attack."
2265,"Niv-Mizzet, Parun",5/5 Legendary Creature - Dragon Wizard,6,UUURRR,R,NM,3.49,Commander Legends: Battle for Baldur's Gate,"This spell can't be countered.FlyingWhenever you draw a card, Niv-Mizzet, Parun deals 1 damage to any target.Whenever a player casts an instant or sorcery spell, you draw a card."
2266,Delayed Blast Fireball (Extended Art),Instant,3,RR,R,NM,10.99,Commander Legends: Battle for Baldur's Gate Variants,"Delayed Blast Fireball deals 2 damage to each opponent and each creature they control. If this spell was cast from exile, it deals 5 damage to each opponent and each creature they control instead.Foretell {4}{R}{R} "
2267,"Yuriko, the Tiger's Shadow",1/3 Legendary Creature - Human Ninja,3,UB,R,NM,10.99,Commander 2018,"Commander ninjutsu {U}{B} Whenever a Ninja you control deals combat damage to a player, reveal the top card of your library and put that card into your hand. Each opponent loses life equal to that card's converted mana cost."
2268,Pyrohemia,Enchantment,4,RR,U,NM,7.99,Planar Chaos,"At the beginning of the end step, if no creatures are on the battlefield, sacrifice Pyrohemia.{R}: Pyrohemia deals 1 damage to each creature and each player."
2269,Rune-Scarred Demon,6/6 Creature - Demon,7,BB,R,NM,7.99,Mystery Booster/The List,"FlyingWhen Rune-Scarred Demon enters the battlefield, search your library for a card, put it into your hand, then shuffle your library."
2270,"Lathliss, Dragon Queen",6/6 Legendary Creature - Dragon,6,RR,R,NM,5.49,Core Set 2019,"FlyingWhenever another nontoken Dragon enters the battlefield under your control, create a 5/5 red Dragon creature token with flying.{1}{R}: Dragons you control get +1/+0 until end of turn."
2271,Root Sliver,2/2 Creature - Sliver,4,G,U,EX,4.79,Legions,Root Sliver can't be countered.Sliver spells can't be countered by spells or abilities.
2272,Anger,2/2 Creature - Incarnation,4,R,U,NM,5.99,Ultimate Masters,"HasteAs long as Anger is in your graveyard and you control a Mountain, creatures you control have haste."
2273,Mystic Remora,Enchantment,1,U,R,NM,9.49,Dominaria Remastered,"Cumulative upkeep {1}Whenever an opponent casts a noncreature spell, you may draw a card unless that player pays {4}."
2274,Thousand-Year Elixir,Artifact,3,,R,NM,9.49,Commander 2013,"You may activate abilities of creatures you control as though those creatures had haste.{1}, {T}: Untap target creature."
2275,Two-Headed Hellkite (Extended Art),5/5 Creature - Dragon,6,WUBRG,R,NM,9.49,Dominaria United Commander Decks Variants,"Flying, menace, hasteWhenever Two-Headed Hellkite attacks, draw two cards."
2276,Lava Spike,Sorcery - Arcane,1,R,C,NM,4.49,Champions of Kamigawa,Lava Spike deals 3 damage to target player.
2277,Colossus Hammer,Artifact - Equipment,1,,U,NM,2.29,Core Set 2020,Equipped creature gets +10/+10 and loses flying.Equip {8} 
2278,Lightning Bolt,Instant,1,R,C,EX,1.83,4th Edition,Lightning Bolt deals 3 damage to any target.
2279,Tireless Tracker,3/2 Creature - Human Scout,3,G,R,NM,6.49,Mystery Booster/The List,"Whenever a land enters the battlefield under your control, investigate. Whenever you sacrifice a Clue, put a +1/+1 counter on Tireless Tracker."
2280,Birds of Paradise,0/1 Creature - Bird,1,G,R,NM,14.99,Ravnica,Flying{T}: Add one mana of any color.
2281,Wild Magic Surge,Instant,2,RR,U,NM,0.99,Commander Legends: Battle for Baldur's Gate,Destroy target permanent an opponent controls. Its controller reveals cards from the top of their library until they reveal a permanent card that shares a card type with that permanent. They put that card onto the battlefield and the rest on the bottom of their library in a random order.
2282,Pongify,Instant,1,U,U,NM,5.49,Commander 2014,Destroy target creature. It can't be regenerated. Its controller puts a 3/3 green Ape creature token onto the battlefield.
2283,Gravecrawler,2/1 Creature - Zombie,1,B,R,NM,5.49,Double Masters 2022,Gravecrawler can’t block.You may cast Gravecrawler from your graveyard as long as you control a Zombie.
2284,Blood Moon,Enchantment,3,R,R,NM,13.99,Chronicles,Nonbasic lands are Mountains.
2285,"Zacama, Primal Calamity",9/9 Legendary Creature - Elder Dinosaur,9,RGW,M,NM,13.99,Rivals of Ixalan,"Vigilance, reach, trampleWhen Zacama, Primal Calamity enters the battlefield, if you cast it, untap all lands you control.{2}{R}: Zacama deals 3 damage to target creature.{2}{G}: Destroy target artifact or enchantment.{2}{W}: You gain 3 life."
